id;placed_date;status;code
1;2021-10-29T18:51:01;COMPLETED;Electronics
2;2021-10-29T13:13:00;COMPLETED;payment PCI violet
3;2021-10-29T23:41:53;CANCELLED;background out-of-the-box withdrawal
4;2021-10-29T03:44:54;COMPLETED;Music real-time
5;2021-10-29T11:49:03;CANCELLED;Hat
6;2021-10-30T00:33:51;PENDING;solid navigating
7;2021-10-29T10:29:37;PENDING;Toys maroon
8;2021-10-29T23:19:11;COMPLETED;Developer
9;2021-10-29T06:47:35;COMPLETED;Credit Soft Cotton
10;2021-10-29T21:30:11;CANCELLED;contingency Bedfordshire
