id;placed_date;status;code;customer_id
1;2021-10-31T09:17:52;COMPLETED;Electronics;1
2;2021-10-31T03:39:51;COMPLETED;payment PCI violet;2
3;2021-10-31T14:08:44;CANCELLED;background out-of-the-box withdrawal;1
4;2021-10-30T18:11:45;COMPLETED;Music real-time;2
5;2021-10-31T02:15:54;CANCELLED;Hat;1
6;2021-10-31T15:00:42;PENDING;solid navigating;2
7;2021-10-31T00:56:28;PENDING;Toys maroon;2
8;2021-10-31T13:46:02;COMPLETED;Developer;1
9;2021-10-30T21:14:26;COMPLETED;Credit Soft Cotton;2
10;2021-10-31T11:57:02;CANCELLED;contingency Bedfordshire;2
