id;tracking_code;date;details;invoice_id
1;Iraq Bedfordshire;2021-11-02T19:28:15;encompassing;1
2;Directives;2021-11-03T04:19:56;Mauritania;2
3;facilitate Tasty Concrete Chips Exclusive;2021-11-02T19:22:41;card Plastic;3
4;Computers Personal Loan Account Berkshire;2021-11-03T10:51:13;encompassing;4
5;deposit Canadian Dollar Lebanon;2021-11-03T01:20:33;Dominican Republic Credit Card Account Handmade;5
6;Ergonomic transmitter;2021-11-03T03:15:45;invoice withdrawal;6
7;bypassing optical;2021-11-03T08:28:19;Bedfordshire;7
8;Refined Rubber Gloves Algerian Dinar Clothing;2021-11-02T23:47:56;Future-proofed deposit Sausages;8
9;disintermediate Cambridgeshire hacking;2021-11-02T19:52:22;bandwidth azure;9
10;SMS Enhanced;2021-11-02T20:14:59;parsing;10
