id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2021-10-31T19:08:35;Loop;CANCELLED;PAYPAL;2021-10-31T13:29:00;22604
2;calculating;2021-10-31T19:36:58;haptic 1080p;ISSUED;PAYPAL;2021-10-31T06:50:38;10489
3;national Frozen Berkshire;2021-10-31T19:51:48;Account Borders Home;PAID;CREDIT_CARD;2021-10-31T10:34:39;36325
4;monitor;2021-10-31T05:54:24;parse intuitive Division;CANCELLED;PAYPAL;2021-10-31T07:29:25;13687
5;synergy transmitting;2021-10-31T05:56:39;parse Gloves;ISSUED;PAYPAL;2021-10-31T14:33:17;92472
6;function;2021-10-31T10:50:07;Fresh;CANCELLED;CASH_ON_DELIVERY;2021-10-31T21:57:08;26944
7;Maine;2021-10-31T21:16:30;RAM;ISSUED;PAYPAL;2021-11-01T02:18:22;32458
8;Analyst Agent;2021-11-01T01:11:12;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2021-10-31T22:12:54;79389
9;Salad;2021-10-31T07:19:54;Gorgeous;ISSUED;CREDIT_CARD;2021-10-31T16:06:18;62169
10;Pants Wooden Intuitive;2021-10-31T16:43:51;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2021-10-31T12:38:28;58737
