id;placed_date;status;code;invoice_id;customer
1;2021-10-31T18:41:51;COMPLETED;Electronics;57858;calculate
2;2021-10-31T17:25:41;CANCELLED;one-to-one Corporate;74608;Steel
3;2021-10-31T08:53:08;CANCELLED;cross-platform Health;12251;real-time
4;2021-10-31T11:39:53;CANCELLED;Hat;10576;Square revolutionize
5;2021-10-31T18:43:22;CANCELLED;implement Implementation;23738;Bike
6;2021-10-31T09:54:43;CANCELLED;Industrial Checking Right-sized;52549;models
7;2021-10-31T10:06:51;PENDING;Implemented;30578;Home
8;2021-10-31T14:05:52;CANCELLED;Handmade Automotive Principal;60178;success Liaison Riel
9;2021-10-31T18:53:38;COMPLETED;National Program;95175;neural hacking
10;2021-10-31T18:46:38;COMPLETED;hack Shirt Walks;57700;full-range back
